Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
810,Christian Vázquez,31,TOT,426,.311,96,.310,.126,2.1%,16.2%,5.2%,87.9,36.6%,25.9%,45.2%,22.6%,0.82,20.5%,56.9%,22.6%,-1.0,-0.3%,-4.7,26%,20%,24%,vazquch01
811,Christian Vázquez,31,BOS,318,.331,108,.315,.150,2.5%,16.0%,5.7%,87.9,35.9%,26.8%,45.5%,21.5%,0.84,20.3%,58.1%,21.5%,-0.1,-0.2%,0.8,26%,33%,23%,vazquch01
812,Christian Vázquez,31,HOU,108,.252,61,.294,.058,0.9%,16.7%,3.7%,87.8,38.4%,23.3%,44.2%,25.6%,0.79,20.9%,53.5%,25.6%,-0.9,-0.1%,-5.5,24%,0%,27%,vazquch01
813,Andrew Velazquez,27,LAA,349,.261,52,.274,.109,2.6%,34.1%,4.3%,83.7,34.1%,20.3%,43.4%,24.5%,0.89,22.2%,58.5%,19.3%,-1.5,-1.2%,-9.2,36%,94%,31%,velazan01
814,Nelson Velázquez,23,CHC,206,.296,84,.281,.168,2.9%,31.6%,9.2%,89.2,43.6%,20.0%,43.3%,29.2%,0.76,30.0%,54.2%,15.8%,-1.0,0.0%,-2.0,24%,71%,64%,velazne01
815,Alex Verdugo,26,BOS,644,.323,101,.309,.125,1.7%,13.4%,6.5%,89.1,38.2%,26.5%,46.2%,23.0%,0.86,26.5%,56.7%,16.8%,2.2,0.6%,11.0,32%,25%,36%,verdual01
816,Mark Vientos,22,NYM,41,.253,58,.217,.111,2.4%,29.3%,12.2%,93.3,45.8%,8.3%,50.0%,37.5%,1.00,20.8%,45.8%,33.3%,-0.3,-0.4%,-3.8,18%,,0%,vientma01
817,Matt Vierling,25,PHI,357,.287,79,.290,.105,1.7%,19.6%,6.4%,91.0,47.1%,27.6%,41.0%,23.4%,0.70,19.2%,59.4%,21.5%,-0.4,-0.1%,-13.6,34%,64%,42%,vierlma01
818,David Villar,25,SFG,181,.350,125,.300,.224,5.0%,32.0%,9.9%,86.8,36.4%,19.2%,38.4%,40.4%,0.62,31.3%,53.5%,15.2%,0.3,-0.2%,2.9,24%,0%,30%,villada01
819,Jonathan Villar,31,TOT,220,.269,60,.275,.094,1.4%,26.8%,6.8%,88.5,41.5%,19.2%,59.6%,17.8%,1.55,24.7%,58.2%,17.1%,-0.7,-0.2%,-6.3,39%,100%,55%,villajo01
820,Jonathan Villar,31,CHC,166,.288,73,.288,.105,1.2%,25.3%,6.6%,89.7,43.1%,20.4%,57.5%,20.4%,1.38,23.9%,58.4%,17.7%,0.0,-0.1%,-1.7,38%,100%,44%,villajo01
821,Jonathan Villar,31,LAA,54,.211,19,.226,.061,1.9%,31.5%,7.4%,84.6,36.4%,15.2%,66.7%,9.1%,2.44,27.3%,57.6%,15.2%,-0.7,-0.1%,-4.6,46%,100%,100%,villajo01
822,Meibrys Viloria,25,TEX,75,.254,57,.242,.111,2.7%,38.7%,14.7%,88.4,37.1%,20.0%,51.4%,28.6%,1.06,25.7%,68.6%,5.7%,-0.6,0.0%,-1.7,42%,,75%,vilorme01
823,Daniel Vogelbach,29,TOT,461,.349,125,.290,.194,3.9%,24.7%,15.8%,89.4,40.1%,24.9%,38.1%,29.7%,0.62,32.2%,52.0%,15.8%,-0.3,0.2%,8.1,20%,,24%,vogelda01
824,Daniel Vogelbach,29,PIT,278,.336,114,.264,.203,4.3%,24.1%,14.4%,90.4,44.7%,19.9%,40.4%,32.7%,0.68,32.7%,50.9%,16.4%,-0.1,-0.3%,2.5,21%,,27%,vogelda01
825,Daniel Vogelbach,29,NYM,183,.369,142,.333,.181,3.3%,25.7%,18.0%,87.6,32.4%,33.3%,34.3%,24.5%,0.52,31.4%,53.9%,14.7%,-0.2,0.5%,5.6,18%,,21%,vogelda01
826,Stephen Vogt,37,OAK,191,.256,62,.168,.161,3.7%,24.1%,8.9%,86.5,27.8%,23.8%,30.2%,35.7%,0.44,32.5%,53.2%,14.3%,-0.1,-0.1%,-5.9,28%,100%,40%,vogtst01
827,Luke Voit,31,TOT,568,.316,107,.298,.176,3.9%,31.5%,9.7%,89.8,44.3%,24.8%,34.9%,34.9%,0.54,34.3%,52.0%,13.8%,-0.1,0.5%,-1.7,22%,50%,13%,voitlu01
828,Luke Voit,31,SDP,344,.327,116,.302,.191,3.8%,32.0%,11.3%,90.5,45.8%,24.5%,33.9%,35.4%,0.51,35.9%,51.0%,13.0%,0.9,0.5%,5.8,26%,50%,19%,voitlu01
829,Luke Voit,31,WSN,224,.299,93,.294,.153,4.0%,30.8%,7.1%,88.8,42.2%,25.2%,36.3%,34.1%,0.57,31.9%,53.3%,14.8%,-1.0,0.0%,-7.5,14%,,0%,voitlu01
830,Jason Vosler,28,SFG,111,.355,129,.333,.204,3.6%,26.1%,9.0%,83.8,25.7%,30.0%,35.7%,22.9%,0.57,42.9%,45.7%,11.4%,0.1,0.0%,1.2,29%,50%,42%,vosleja01
831,Joey Votto,38,CIN,376,.317,91,.257,.165,2.9%,25.8%,11.7%,89.7,41.3%,20.0%,44.9%,31.1%,0.81,32.4%,52.9%,14.7%,-0.7,-0.1%,0.1,18%,,21%,vottojo01
832,LaMonte Wade Jr.,28,SFG,251,.299,86,.233,.152,3.2%,20.3%,10.4%,87.1,34.3%,17.8%,33.1%,38.5%,0.50,34.9%,50.3%,14.8%,-0.9,-0.1%,-3.4,31%,100%,32%,wadela01
833,Tyler Wade,27,LAA,163,.245,50,.274,.054,0.6%,20.3%,6.1%,75.8,16.0%,24.4%,32.8%,20.2%,0.67,29.4%,52.9%,17.6%,-0.9,-0.4%,-8.4,42%,62%,42%,wadety01
834,Christian Walker,31,ARI,667,.351,127,.248,.235,5.4%,19.6%,10.3%,90.0,44.2%,21.4%,39.2%,30.9%,0.65,28.8%,52.5%,18.7%,1.2,0.2%,18.0,26%,50%,46%,walkech02
835,Steele Walker,25,TEX,16,.215,29,.000,.214,6.3%,25.0%,12.5%,88.2,40.0%,0.0%,50.0%,30.0%,1.00,50.0%,30.0%,20.0%,-0.2,-0.1%,-0.8,0%,,,walkest01
836,Chad Wallach,30,LAA,40,.225,33,.160,.114,2.5%,22.5%,10.0%,87.0,38.5%,25.9%,37.0%,33.3%,0.63,25.9%,55.6%,18.5%,-0.2,-0.2%,-2.7,25%,,0%,wallach01
837,Matt Wallner,24,MIN,65,.310,97,.367,.158,3.1%,38.5%,9.2%,87.5,53.1%,18.8%,53.1%,12.5%,1.13,43.8%,37.5%,18.8%,-0.3,-0.1%,0.5,11%,100%,100%,wallnma01
838,Taylor Walls,25,TBR,466,.257,63,.221,.113,1.7%,25.8%,11.2%,85.5,28.6%,26.8%,36.4%,26.8%,0.59,28.5%,51.2%,20.3%,-2.7,-1.4%,-24.6,37%,77%,61%,wallsta01
839,Jared Walsh,28,LAA,454,.283,77,.281,.158,3.3%,30.4%,6.0%,89.6,42.5%,23.5%,45.3%,24.2%,0.84,36.1%,51.2%,12.6%,-1.8,0.2%,-14.8,24%,67%,39%,walshja01
840,Donovan Walton,28,TOT,78,.208,21,.186,.145,1.3%,20.5%,1.3%,86.1,31.7%,20.0%,48.3%,26.7%,0.94,33.3%,46.7%,20.0%,-0.6,-0.4%,-4.9,53%,,50%,waltodo01
841,Donovan Walton,28,SFG,78,.208,21,.186,.145,1.3%,20.5%,1.3%,86.1,31.7%,20.0%,48.3%,26.7%,0.94,33.3%,46.7%,20.0%,-0.6,-0.4%,-4.9,50%,,50%,waltodo01
842,Taylor Ward,28,LAA,564,.366,137,.325,.192,4.1%,21.3%,10.6%,89.9,42.9%,27.1%,35.5%,31.3%,0.55,26.3%,57.1%,16.6%,1.0,1.5%,19.1,28%,63%,50%,wardta01
843,Drew Waters,23,KCR,109,.346,121,.353,.240,4.6%,36.7%,11.0%,84.1,28.6%,21.4%,48.2%,28.6%,0.93,39.3%,42.9%,17.9%,0.9,0.0%,6.6,28%,,73%,waterdr01
844,Joey Wendle,32,MIA,371,.299,86,.293,.101,0.8%,13.5%,4.0%,87.0,36.3%,23.3%,54.2%,19.3%,1.21,27.9%,51.8%,20.3%,-0.3,0.0%,-3.1,22%,80%,41%,wendljo01
845,Eli White,28,TEX,117,.295,72,.290,.105,2.6%,35.0%,9.4%,78.0,29.2%,18.5%,27.7%,29.2%,0.47,23.1%,50.8%,26.2%,-0.3,-0.2%,-0.1,36%,92%,67%,whiteel04
846,Aaron Whitefield,25,LAA,11,.000,-129,.000,.000,0.0%,45.5%,0.0%,95.3,50.0%,33.3%,66.7%,0.0%,2.00,50.0%,50.0%,0.0%,-0.2,-0.2%,-2.4,,,,whiteaa01
847,Luke Williams,25,TOT,136,.275,67,.354,.079,0.7%,32.4%,6.6%,81.4,22.9%,24.1%,38.6%,22.9%,0.67,34.1%,43.9%,22.0%,-0.6,0.1%,-10.5,33%,73%,55%,willilu01
848,Luke Williams,25,SFG,12,.246,49,.375,.083,0.0%,33.3%,0.0%,79.4,0.0%,25.0%,37.5%,37.5%,0.60,25.0%,50.0%,25.0%,0.1,0.0%,0.8,25%,,,willilu01
849,Luke Williams,25,MIA,124,.278,69,.351,.078,0.8%,32.3%,7.3%,81.6,25.3%,24.0%,38.7%,21.3%,0.67,35.1%,43.2%,21.6%,-0.7,0.1%,-11.3,33%,73%,55%,willilu01
850,Marcus Wilson,25,SEA,6,.248,58,1.000,.000,0.0%,66.7%,16.7%,95.1,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.1,33%,,100%,wilsoma02
851,Jesse Winker,28,SEA,547,.318,109,.251,.125,2.6%,18.8%,15.4%,87.5,34.4%,22.2%,38.8%,28.9%,0.64,31.5%,51.1%,17.4%,-0.4,-0.5%,3.8,21%,,30%,winkeje01
852,Patrick Wisdom,30,CHC,534,.316,99,.274,.220,4.7%,34.3%,9.9%,90.3,46.7%,20.4%,34.3%,31.8%,0.53,35.3%,50.2%,14.5%,1.1,0.0%,-5.6,31%,67%,49%,wisdopa01
853,Bobby Witt,22,KCR,632,.319,97,.295,.174,3.2%,21.4%,4.8%,89.7,38.8%,22.6%,36.2%,33.4%,0.57,22.3%,57.3%,20.4%,-1.4,-0.6%,-5.3,37%,81%,62%,wittbo02
854,Tony Wolters,30,LAD,4,.000,-133,.000,.000,0.0%,75.0%,0.0%,87.1,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,-0.1,0.0%,-1.1,,,,wolteto01
855,Connor Wong,26,BOS,56,.256,51,.250,.125,1.8%,28.6%,8.9%,88.6,32.4%,11.8%,61.8%,17.6%,1.75,18.2%,60.6%,21.2%,-0.1,-0.1%,2.0,41%,,60%,wongco01
856,Kolten Wong,31,MIL,497,.340,117,.280,.179,3.0%,17.7%,9.3%,86.1,35.6%,25.2%,41.5%,23.5%,0.74,36.7%,47.6%,15.8%,1.5,1.2%,7.2,33%,74%,39%,wongko01
857,Austin Wynns,31,SFG,177,.308,93,.320,.099,1.7%,21.5%,5.7%,83.6,27.0%,23.8%,46.0%,23.0%,0.87,28.6%,47.6%,23.8%,-0.6,-0.3%,-5.1,21%,,33%,wynnsau01
858,Mike Yastrzemski,31,SFG,558,.310,94,.261,.177,3.1%,25.3%,10.9%,89.3,42.6%,23.6%,33.6%,31.9%,0.52,39.6%,44.4%,16.0%,-1.1,0.0%,-6.7,36%,83%,46%,yastrmi01
859,Christian Yelich,30,MIL,671,.335,112,.327,.130,2.1%,24.1%,13.1%,91.1,48.6%,19.7%,58.4%,18.0%,1.43,28.0%,52.5%,19.5%,0.7,0.0%,14.9,38%,86%,42%,yelicch01
860,Juan Yepez,24,STL,274,.331,115,.283,.194,4.4%,22.3%,5.8%,86.5,33.7%,19.9%,37.8%,31.1%,0.61,33.2%,52.6%,14.3%,-1.5,-0.8%,-6.6,22%,,29%,yepezju01
861,Jared Young,26,CHC,22,.338,107,.417,.105,0.0%,31.8%,13.6%,90.7,50.0%,33.3%,33.3%,25.0%,0.50,33.3%,41.7%,25.0%,-0.1,0.0%,-1.3,25%,100%,0%,youngja02
862,Seby Zavala,28,CHW,205,.329,109,.404,.112,1.0%,31.2%,9.3%,88.0,37.3%,29.4%,26.9%,33.6%,0.38,36.1%,41.2%,22.7%,-0.4,-0.2%,1.9,29%,,23%,zavalse01
863,Bradley Zimmer,29,TOT,117,.206,23,.190,.105,1.7%,38.5%,4.3%,81.8,34.4%,13.1%,44.3%,27.9%,0.96,29.5%,57.4%,13.1%,-0.5,-0.4%,-10.1,40%,60%,64%,zimmebr01
864,Bradley Zimmer,29,TOR,101,.200,19,.152,.112,2.0%,40.6%,5.0%,81.4,38.8%,16.3%,42.9%,24.5%,0.95,32.7%,55.1%,12.2%,-0.5,-0.4%,-9.6,34%,60%,55%,zimmebr01
865,Bradley Zimmer,29,PHI,16,.241,45,.333,.063,0.0%,25.0%,0.0%,83.7,16.7%,0.0%,50.0%,41.7%,1.00,16.7%,66.7%,16.7%,0.0,0.0%,-0.5,80%,,100%,zimmebr01
866,Mike Zunino,31,TBR,123,.218,37,.185,.157,4.1%,37.4%,4.9%,91.8,41.4%,25.7%,28.6%,37.1%,0.40,31.4%,47.1%,21.4%,-0.5,-0.3%,-6.3,11%,,40%,zuninmi01
